bathrooms;hasLift;latitude;longitude;newDevelopment;price;rooms;size;exterior_0;exterior_1;floor_1;floor_2;floor_3;floor_4;floor_high;floor_en;luxury;hasParking;property_chalet;property_duplex;property_penthouse;property_studio;status_renew;y_pred;rentabilidad;property_type;floor_type
2;True;37.3892256;-5.9670772;True;349684.0;3;120.0;0;1;0;0;0;0;0;0;False;False;0;0;0;0;0;1096.2150646551722;3.761848061639099;Piso;Bajo/Semisótano
2;True;37.3892256;-5.9670772;True;349684.0;3;138.0;0;1;0;0;1;0;0;0;False;False;0;1;0;0;0;1268.4983333333328;4.35306734079912;Dúplex;Tercer Piso
2;True;37.3892256;-5.9670772;True;349684.0;3;132.0;0;1;1;0;0;0;0;0;False;False;0;0;0;0;0;1087.929231321839;3.733413818150693;Piso;Primer Piso
1;True;37.3871913;-5.9599062;False;270000.0;2;96.0;0;1;0;1;0;0;0;0;False;False;0;0;0;0;1;917.8933187134502;4.079525860948667;Piso;Segundo Piso
1;True;37.3871913;-5.9599062;False;270000.0;2;96.0;0;1;0;1;0;0;0;0;False;False;0;0;0;0;0;917.8933187134502;4.079525860948667;Piso;Segundo Piso
2;True;37.3920663;-5.967869;False;249990.0;5;163.0;0;1;0;0;0;0;1;0;False;False;0;0;0;0;0;1180.6626282051284;5.667407311677083;Piso;Piso Alto
2;True;37.3869415;-5.9639483;False;455000.0;3;138.0;0;1;0;0;1;0;0;0;False;False;0;1;0;0;0;1303.4047619047615;3.4375510204081623;Dúplex;Tercer Piso
2;True;37.3869415;-5.9639483;False;440000.0;3;129.0;0;1;0;1;0;0;0;0;False;False;0;0;0;0;0;1252.7063970727547;3.4164719920166036;Piso;Segundo Piso
2;True;37.3869415;-5.9639483;False;435000.0;3;137.0;0;1;0;0;0;0;0;1;False;False;0;0;0;0;0;1153.5306598932675;3.182153544533152;Piso;Entrepiso
1;True;37.3869415;-5.9639483;False;201000.0;1;59.0;0;1;1;0;0;0;0;0;False;False;0;0;0;0;0;871.663631581654;5.2039619795919645;Piso;Primer Piso
1;True;37.3914272;-5.9681303;False;189000.0;2;78.0;0;1;0;0;1;0;0;0;False;False;0;0;0;0;0;885.2730128205131;5.620781033781036;Piso;Tercer Piso
1;True;37.389475;-5.9677578;False;210000.0;1;60.0;0;1;0;0;0;0;0;0;False;False;0;0;0;0;0;847.6719427257526;4.843839672718586;Piso;Bajo/Semisótano
2;False;37.3865411;-5.9628648;False;249000.0;3;106.0;0;0;0;0;0;0;0;0;False;False;1;0;0;0;0;1211.0373563218395;5.836324608779949;Chalet;Bajo/Semisótano
3;False;37.3866297;-5.9637322;False;390000.0;5;246.0;0;0;0;0;0;0;0;0;False;False;1;0;0;0;1;1247.441794871795;3.8382824457593694;Chalet;Bajo/Semisótano
1;False;37.3888854;-5.9675462;False;170000.0;3;66.0;0;1;0;1;0;0;0;0;False;False;0;0;0;0;0;876.3833290654172;6.18623526399118;Piso;Segundo Piso
2;True;37.3961581;-5.9629502;False;187000.0;4;125.0;0;1;0;0;0;0;1;0;False;False;0;0;0;0;0;1023.8710119047623;6.570295263559972;Piso;Piso Alto
2;True;37.396028;-5.9638982;False;187000.0;4;125.0;0;1;0;0;0;0;1;0;False;False;0;0;0;0;1;1026.8710119047623;6.589546600458368;Piso;Piso Alto
1;True;37.3869237;-5.9593809;False;270000.0;2;76.0;0;1;0;1;0;0;0;0;False;False;0;0;0;0;0;871.3971194127511;3.872876086278893;Piso;Segundo Piso
1;True;37.3869499;-5.9653461;True;270000.0;2;102.0;0;1;0;0;0;0;0;0;False;False;0;0;0;0;0;929.4838888888887;4.131039506172838;Piso;Bajo/Semisótano
3;False;37.3902487;-5.9684062;False;479900.0;5;190.0;0;0;0;0;0;0;0;0;False;True;1;0;0;0;0;1280.7832632223729;3.202625371675031;Chalet;Bajo/Semisótano
3;True;37.386891;-5.9653497;True;675000.0;4;197.0;0;1;0;1;0;0;0;0;False;False;0;0;1;0;0;1365.643958333333;2.427811481481481;Ático;Segundo Piso
1;True;37.386891;-5.9653497;True;315200.0;2;108.0;0;1;1;0;0;0;0;0;False;False;0;0;0;0;0;961.0563888888889;3.6588441201353636;Piso;Primer Piso
2;False;37.3894368;-5.968165;False;450000.0;6;165.0;0;0;0;0;0;0;0;0;False;False;1;0;0;0;1;1495.230370140612;3.9872809870416326;Chalet;Bajo/Semisótano
2;True;37.3884074;-5.9675746;False;289000.0;3;86.0;0;1;1;0;0;0;0;0;False;False;0;0;0;0;0;1193.1077330612445;4.954080552503438;Piso;Primer Piso
1;False;37.3875417;-5.9666655;False;325000.0;3;92.0;0;1;1;0;0;0;0;0;False;True;0;0;0;0;1;1149.7365041928722;4.245180938558297;Piso;Primer Piso
3;False;37.3881426;-5.9675273;False;720000.0;3;304.0;0;0;0;0;0;0;0;0;False;False;1;0;0;0;0;1300.4333333333334;2.167388888888889;Chalet;Bajo/Semisótano
5;False;37.3890589;-5.9682688;False;899000.0;6;370.0;0;0;0;0;0;0;0;0;False;True;1;0;0;0;0;1891.4333333333334;2.5247163515016684;Chalet;Bajo/Semisótano
2;True;37.3861061;-5.9635414;False;420000.0;3;204.0;0;1;0;0;1;0;0;0;False;True;0;0;0;0;0;1282.980004192872;3.6656571548367776;Piso;Tercer Piso
1;True;37.3867777;-5.9658632;False;175000.0;3;58.0;0;1;0;0;1;0;0;0;False;False;0;0;0;0;1;858.2069711538464;5.884847802197804;Piso;Tercer Piso
2;False;37.3860352;-5.9609552;False;190000.0;2;79.0;0;0;1;0;0;0;0;0;False;False;0;0;0;0;0;1235.5948563218392;7.803756987295827;Piso;Primer Piso
2;True;37.3859202;-5.9616663;False;245000.0;3;104.0;0;0;0;0;0;0;1;0;False;False;0;0;0;0;0;1202.7935765599345;5.89123384437519;Piso;Piso Alto
2;False;37.3859227;-5.9632552;False;180000.0;2;86.0;0;0;0;0;0;0;0;0;False;False;0;0;0;0;0;1246.4815229885055;8.309876819923371;Piso;Bajo/Semisótano
2;True;37.3865008;-5.9654879;False;410000.0;4;125.0;0;1;0;0;1;0;0;0;False;True;0;0;0;0;0;1272.2556879535557;3.7236751842543088;Piso;Tercer Piso
2;True;37.3859453;-5.9609999;False;325000.0;3;115.0;0;1;0;0;0;0;0;0;False;False;0;0;0;0;0;1179.0977702828782;4.353591767198319;Piso;Bajo/Semisótano
